Oi	Olá, em que podemos ajudar?	
Quais unidades tem?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;|Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Quais filiais tem?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;|Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Quais as unidades da escola?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;|Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Quais unidades a escola tem?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;|Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Quais filiais a escola tem?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;|Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Quais os endereços das unidades de São Paulo?	Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg	
Qual o endereço de São Paulo?	Unidade 2 - Campo Limpo;Estrada do Campo Limpo N° 3930, São Paulo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;|Unidade 4 - Jd. Bonfiglioli;Avenida Eng. Eitor A.E Garcia N° 560, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;|Unidade 5 - Capão Redondo;Av. Visconde do Rio Grande N° 16, São Paulo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg	
Quais os endereços das unidades de Taboão da Serra?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg	
Qual o endereço de Taboão da Serra?	Unidade 1 - Pq. Pinheiros;Rua Mario Latorre N° 31, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;|Unidade 3 - Pirajussara;Estrada Kizaemon Takeuti N° 2414, Taboão da Serra;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg	
Quais os endereços das unidades do Embu das Artes?	Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg	
Quais os endereços das unidades do Embu?	Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg	
Qual o endereço da unidade do Embu das Artes?	Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg	
Qual o endereço da unidade do Embu?	Unidade 6 - Embu das Artes;Rua Macuco Nº 11, Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg	
Qual o endereço da unidade do Pq. Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual o endereço do Pq. Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Onde fica a do Pq. Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Onde é a do Pq. Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual o endereço da unidade 1?	Rua Mario Latorre N° 31;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Onde fica a unidade 1?	Rua Mario Latorre N° 31;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Onde é a unidade 1?	Rua Mario Latorre N° 31;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Onde no Pq. Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual o telefone da unidade da Unidade 1?	Telefone: (11) 4787-2896;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual o telefone da unidade do Pq. Pinheiros?	Telefone: (11) 4787-2896;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual o telefone do Pq. Pinheiros?	Telefone: (11) 4787-2896;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual telefone do Pq. Pinheiros?	Telefone: (11) 4787-2896;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual telefone Pq. Pinheiros?	Telefone: (11) 4787-2896;Unidade 1 - Pq. Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Quem eu procuro no Pq. Pinheiros?	Procure pela Beni.	
Qual o endereço da unidade do Parque Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Parque Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual o endereço do Parque Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Parque Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Onde fica a do Parque Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Parque Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Onde é a do Parque Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Parque Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Onde no Parque Pinheiros?	Rua Mario Latorre N° 31;Unidade 1 - Parque Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual o telefone da unidade do Parque Pinheiros?	Telefone: (11) 4787-2896;Unidade 1 - Parque Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual o telefone do Parque Pinheiros?	Telefone: (11) 4787-2896;Unidade 1 - Parque Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual telefone do Parque Pinheiros?	Telefone: (11) 4787-2896;Unidade 1 - Parque Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Qual telefone Parque Pinheiros?	Telefone: (11) 4787-2896;Unidade 1 - Parque Pinheiros;http://ctieducar.com.br/cti_novo/;http://i68.tinypic.com/122iu0o.jpg;	
Quem eu procuro no Parque Pinheiros?	Procure pela Beni.	
Qual o endereço da unidade 2?	Estrada do Campo Limpo N° 3930;Unidade 2 - Campo Limpo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Onde fica a unidade 2?	Estrada do Campo Limpo N° 3930;Unidade 2 - Campo Limpo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Onde é a unidade 2?	Estrada do Campo Limpo N° 3930;Unidade 2 - Campo Limpo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Qual o endereço da unidade do Campo Limpo?	Estrada do Campo Limpo N° 3930;Unidade 2 - Campo Limpo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Qual o endereço do Campo Limpo?	Estrada do Campo Limpo N° 3930;Unidade 2 - Campo Limpo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Onde fica a do Campo Limpo?	Estrada do Campo Limpo N° 3930;Unidade 2 - Campo Limpo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Onde é a do Campo Limpo?	Estrada do Campo Limpo N° 3930;Unidade 2 - Campo Limpo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Onde no Campo Limpo?	Estrada do Campo Limpo N° 3930;Unidade 2 - Campo Limpo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Qual o telefone da unidade 2?	Telefone: (11) 5844-5844;Unidade 2 - Campo Limpo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Qual o telefone da unidade do Campo Limpo?	Telefone: (11) 5844-5844;Unidade 2 - Campo Limpo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Qual o telefone do Campo Limpo?	Telefone: (11) 5844-5844;Unidade 2 - Campo Limpo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Qual telefone do Campo Limpo?	Telefone: (11) 5844-5844;Unidade 2 - Campo Limpo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Qual telefone Campo Limpo?	Telefone: (11) 5844-5844;Unidade 2 - Campo Limpo;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Quem eu procuro no Campo Limpo?	Procure pela Vanessa.	
Qual o endereço da unidade 3?	Estrada Kizaemon Takeuti N° 2414;Unidade 3 - Pirajussara;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;	
Onde fica a unidade 3?	Estrada Kizaemon Takeuti N° 2414;Unidade 3 - Pirajussara;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;	
Onde é a unidade 3?	Estrada Kizaemon Takeuti N° 2414;Unidade 3 - Pirajussara;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;	
Qual o endereço da unidade do Pirajussara?	Estrada Kizaemon Takeuti N° 2414;Unidade 3 - Pirajussara;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;	
Qual o endereço do Pirajussara?	Estrada Kizaemon Takeuti N° 2414;Unidade 3 - Pirajussara;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;	
Onde fica a do Pirajussara?	Estrada Kizaemon Takeuti N° 2414;Unidade 3 - Pirajussara;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;	
Onde é a do Pirajussara?	Estrada Kizaemon Takeuti N° 2414;Unidade 3 - Pirajussara;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;	
Onde no Pirajussara?	Estrada Kizaemon Takeuti N° 2414;Unidade 3 - Pirajussara;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;	
Qual o telefone da unidade 3?	Telefone: (11) 4138-1333;Unidade 3 - Pirajussara;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;	
Qual o telefone da unidade do Pirajussara?	Telefone: (11) 4138-1333;Unidade 3 - Pirajussara;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;	
Qual o telefone do Pirajussara?	Telefone: (11) 4138-1333;Unidade 3 - Pirajussara;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;	
Qual telefone do Pirajussara?	Telefone: (11) 4138-1333;Unidade 3 - Pirajussara;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;	
Qual telefone Pirajussara?	Telefone: (11) 4138-1333;Unidade 3 - Pirajussara;http://ctieducar.com.br/cti_novo/;http://i64.tinypic.com/2hrzi2a.jpg;	
Quem eu procuro no Pirajussara?	Procure pela Beni.	
Qual o endereço da unidade 4?	Avenida Eng. Eitor A.E Garcia N° 560;Unidade 4 - Jd. Bonfiglioli;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;	
Onde fica a unidade 4?	Avenida Eng. Eitor A.E Garcia N° 560;Unidade 4 - Jd. Bonfiglioli;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;	
Onde é a unidade 4?	Avenida Eng. Eitor A.E Garcia N° 560;Unidade 4 - Jd. Bonfiglioli;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;	
Qual o endereço da unidade do Bonfiglioli?	Avenida Eng. Eitor A.E Garcia N° 560;Unidade 4 - Jd. Bonfiglioli;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;	
Qual o endereço do Bonfiglioli?	Avenida Eng. Eitor A.E Garcia N° 560;Unidade 4 - Jd. Bonfiglioli;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;	
Onde fica a do Bonfiglioli?	Avenida Eng. Eitor A.E Garcia N° 560;Unidade 4 - Jd. Bonfiglioli;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;	
Onde é a do Bonfiglioli?	Avenida Eng. Eitor A.E Garcia N° 560;Unidade 4 - Jd. Bonfiglioli;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;	
Onde no Bonfiglioli?	Avenida Eng. Eitor A.E Garcia N° 560;Unidade 4 - Jd. Bonfiglioli;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/33a58py.jpg;	
Qual o telefone da unidade 4?	Telefone: (11) 3735-7441;Unidade 4 - Jd. Bonfiglioli;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Qual o telefone da unidade do Bonfiglioli?	Telefone: (11) 3735-7441;Unidade 4 - Jd. Bonfiglioli;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Qual o telefone do Bonfiglioli?	Telefone: (11) 3735-7441;Unidade 4 - Jd. Bonfiglioli;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Qual telefone do Bonfiglioli?	Telefone: (11) 3735-7441;Unidade 4 - Jd. Bonfiglioli;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Qual telefone Bonfiglioli?	Telefone: (11) 3735-7441;Unidade 4 - Jd. Bonfiglioli;http://ctieducar.com.br/cti_novo/;http://i65.tinypic.com/2wpti1g.png;	
Quem eu procuro no Bonfiglioli?	Procure pela Marcia.	
Qual o endereço da unidade 5?	Av. Visconde do Rio Grande N° 16;Unidade 5 - Capão Redondo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;	
Onde fica a unidade 5?	Av. Visconde do Rio Grande N° 16;Unidade 5 - Capão Redondo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;	
Onde é a unidade 5?	Av. Visconde do Rio Grande N° 16;Unidade 5 - Capão Redondo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;	
Qual o endereço da unidade do Capão Redondo?	Av. Visconde do Rio Grande N° 16;Unidade 5 - Capão Redondo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;	
Qual o endereço do Capão Redondo?	Av. Visconde do Rio Grande N° 16;Unidade 5 - Capão Redondo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;	
Onde fica a do Capão Redondo?	Av. Visconde do Rio Grande N° 16;Unidade 5 - Capão Redondo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;	
Onde é a do Capão Redondo?	Av. Visconde do Rio Grande N° 16;Unidade 5 - Capão Redondo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;	
Onde no Capão Redondo?	Av. Visconde do Rio Grande N° 16;Unidade 5 - Capão Redondo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;	
Qual o telefone da unidade 5?	Telefone: (11) 5872-6851;Unidade 5 - Capão Redondo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;	
